Dim1 Dim2
3G -3.57023274969099 -9.21067542793645
Linux 9.27119794183213 -7.43549188620741
Miitomo -7.38461330457857 6.75626946270219
Financial_Times -6.16324217920003 11.7525621845331
Wayback_Machine 7.85036771165869 5.38587276407356
Malta -5.79183707411263 0.0030618121848202
IEC_88596 -11.018099431142 -3.56842176117506
BloodRayne -3.03039866261704 18.17299652035
Uniform_Office_Format 3.01237365970249 9.21465185291749
Nortel -1.29351339589557 8.4192456904031
Firefox 4.25798820885721 -6.45076648933183
Pokémon -3.13625013136835 -12.0112564759777
Panasonic -4.24076580971614 -11.986299579012
IEC_12207 -3.45858359878083 -22.2767655878612
Chrome_OS 6.89859329854605 -1.52521468974406
BBC_2 -9.66043230311018 11.3637814800325
SKE48 -5.83131175191604 -15.2212854532413
Encyclopædia_Britannica 6.29009371704881 -9.94511118720395
Super_Nintendo_Entertainment_System -5.35254068718176 -8.71403186532922
Pikachu -5.69316870316388 6.79061581397639
MIME 1.8246590064313 5.20107540786169
Coldplay 2.33585584534203 -9.77712600767375
Nakamichi -6.30942106415706 16.2823128127225
IFund 3.00674852249014 8.43220730513924
Xfire 8.05164739654965 4.58954417550792
DVD -7.38200414116511 -9.89316815020539
Spanish_language 13.0296043412925 -5.60765403233929
64DD -7.23508609435894 7.19277121155586
ArmSCII -5.52181582572257 14.4454224220943
Plain_text -2.30904730019071 18.4566630872163
Network_Security_Services 8.92305084979693 -2.05799167609353
IPod_Shuffle 5.43135296996842 -3.89599286344548
IAd 5.68387315726875 -2.51353653642113
XpanD_3D -3.05567236517943 15.2047395034412
Boston 5.64177145731592 -9.92073019629469
Tokyo_International_Airport 0.646310475648546 -13.6580492007936
APNG -1.3528314766001 15.5670577262148
Jamaica -4.37620801997772 -0.313359682377292
Yahoo 5.94136522347933 -6.84624220485679
GNUnetFile_sharing 7.08663278740942 7.27160235745332
SuperDrive -0.396911851101531 13.7063712008787
Nintendo_eShopDeluxe_Digital_Promotion_and_Nintendo_Network_Premium -8.49581881864983 5.72229134074052
JavaScript 3.69676198476385 -1.49484432845672
BSi -6.224673378808 -12.8647374966846
XBAND -5.63166101098465 11.3746808392941
Pokémon_Go�iticism_and_incidents 9.2177572503708 -13.9788404863947
CIA 1.80522473699103 -9.46113448630106
Linux_Standard_Base 6.37753420845039 6.69616592019696
IOS_8 6.62941847510778 -5.56167989702327
IPad -6.8977581040033 -8.07455067647926
Photo_Booth 3.37887985620718 7.82904721726983
HTML5 3.63562265177598 0.509716883161384
Phabricator 8.90379825672704 2.43248696135035
Sri_Lanka 5.66838785346019 -10.5849908926688
Talking_Heads -2.30099858634277 9.97569805892881
Ministry_of_Sound -0.530724249683286 13.9107877769585
IEC_7813 -5.0428602361309 -21.9793506957901
AirPort_Express 2.9143211254538 -3.167590538556
ISO_31 -4.52464483832442 -23.4121612035563
New_York_City 4.76670515299402 -10.4431833390282
Tencent_QQ -5.70002330512938 18.5847807647849
Final_Fantasy -1.93076229274789 -8.21114398069531
Chocolove_from_AKB48 -9.17953964307669 -6.20749502634819
Nintendo_3DSLarger_model -2.21179789014883 -12.7823348515555
Game26_Watch -5.28607222410202 -8.21949873688439
Bertrand_Serlet -2.85589218878959 17.5326381574429
Adobe_Illustrator 7.54640332417681 1.69210058810725
Japan_Radio_Network -7.45812390572393 -12.7371513380994
Thailand 1.81054185380956 -12.4516706466263
MetaObject_Facility 3.3790875934405 12.6620078479518
Russia 4.06715931833387 -11.4738399847306
Ziff_Davis 3.55686244201912 10.0974377517288
Kazaa -0.0439074041966408 9.85747271877585
Project_Gutenberg 6.28760836716656 8.76068983080362
Consumer_Electronics_Show -3.20924534216011 17.3179643196597
CCITT 12.0730847772033 -5.89849196836274
ISO_313 -3.90846092098988 -23.0330035200539
Cambodia -6.21327555753986 -2.04871089338464
PostScript 8.29215500405181 1.19335813482547
OpenDocument 3.57830778583944 -8.4811814510518
AOL_Instant_Messenger 2.20057924853381 5.24446882848148
The_Guardian -1.41845635106716 7.42982713542897
Siri 9.22127818149513 1.43466510874718
Game_Boy_Advance -7.22941599350181 5.79129476522558
